"No","Module","Title","RazorFile","Route","URL","Type","DesignStatus","Notes"
"44","DayAttendance","الحضور اليومي","DayAttendance/Index.cshtml","/DayAttendance","https://zynorahr.com/DayAttendance","UI","Pending",""
"45","Departments","إضافة قسم","Departments/Create.cshtml","/Departments/Create","https://zynorahr.com/Departments/Create","UI","Pending",""
"46","Departments","حذف قسم","Departments/Delete.cshtml","/Departments/Delete","https://zynorahr.com/Departments/Delete","UI","Pending",""
"47","Departments","تعديل قسم","Departments/Edit.cshtml","/Departments/Edit","https://zynorahr.com/Departments/Edit","UI","Pending",""
"48","Departments","استيراد الأقسام","Departments/Import.cshtml","/Departments/Import","https://zynorahr.com/Departments/Import","UI","Pending",""
"49","Departments","الأقسام","Departments/Index.cshtml","/Departments","https://zynorahr.com/Departments","UI","Pending",""
"50","DesignLab","مختبر المقاسات","DesignLab/Index.cshtml","/DesignLab","https://zynorahr.com/DesignLab","UI","Pending",""
"51","DesignPreview","معاينة الهوية الجديدة","DesignPreview/Index.cshtml","/DesignPreview","https://zynorahr.com/DesignPreview","UI","Pending",""
"52","Devices","إضافة جهاز","Devices/Create.cshtml","/Devices/Create","https://zynorahr.com/Devices/Create","UI","Pending",""
"53","Devices","حذف جهاز","Devices/Delete.cshtml","/Devices/Delete","https://zynorahr.com/Devices/Delete","UI","Pending",""
"54","Devices","تعديل جهاز","Devices/Edit.cshtml","/Devices/Edit","https://zynorahr.com/Devices/Edit","UI","Pending",""
"55","Devices","Devices/Import.cshtml","Devices/Import.cshtml","/Devices/Import","https://zynorahr.com/Devices/Import","UI","Pending",""
"56","Devices","الأجهزة","Devices/Index.cshtml","/Devices","https://zynorahr.com/Devices","UI","Pending",""
"57","DisciplinaryRules","لائحة المخالفات","DisciplinaryRules/Index.cshtml","/DisciplinaryRules","https://zynorahr.com/DisciplinaryRules","UI","Pending",""
"58","Documents","توليد الوثائق","Documents/Generate.cshtml","/Documents/Generate","https://zynorahr.com/Documents/Generate","UI","Pending",""
"59","Documents","طلبات الوثائق","Documents/Requests.cshtml","/Documents/Requests","https://zynorahr.com/Documents/Requests","UI","Pending",""
"60","Documents","قوالب الوثائق","Documents/Templates.cshtml","/Documents/Templates","https://zynorahr.com/Documents/Templates","UI","Pending",""
"61","Documents","Documents/View.cshtml","Documents/View.cshtml","/Documents/View","https://zynorahr.com/Documents/View","UI","Pending",""
"62","EmployeeDocuments","مستندات الموظفين","EmployeeDocuments/Index.cshtml","/EmployeeDocuments","https://zynorahr.com/EmployeeDocuments","UI","Pending",""
"63","EmployeeGeoLocations","المواقع الجغرافية للموظفين","EmployeeGeoLocations/Index.cshtml","/EmployeeGeoLocations","https://zynorahr.com/EmployeeGeoLocations","UI","Pending",""
"64","EmployeeOnlinePunches","EmployeeOnlinePunches/Index.cshtml","EmployeeOnlinePunches/Index.cshtml","/EmployeeOnlinePunches","https://zynorahr.com/EmployeeOnlinePunches","UI","Pending",""
"65","EmployeePermissions","بطاقات الموظفين","EmployeePermissions/Index.cshtml","/EmployeePermissions","https://zynorahr.com/EmployeePermissions","UI","Pending",""
"66","EmployeePortal","الإقرارات","EmployeePortal/Acknowledgments.cshtml","/EmployeePortal/Acknowledgments","https://zynorahr.com/EmployeePortal/Acknowledgments","UI","Pending",""
"67","EmployeePortal","البصمة والوجه","EmployeePortal/Biometric.cshtml","/EmployeePortal/Biometric","https://zynorahr.com/EmployeePortal/Biometric","UI","Pending",""
"68","EmployeePortal","تغيير كلمة المرور","EmployeePortal/ChangePassword.cshtml","/EmployeePortal/ChangePassword","https://zynorahr.com/EmployeePortal/ChangePassword","UI","Pending",""
"69","EmployeePortal","طلب تعديل بياناتي","EmployeePortal/DataChange.cshtml","/EmployeePortal/DataChange","https://zynorahr.com/EmployeePortal/DataChange","UI","Pending",""
"70","EmployeePortal","طلب وثيقة","EmployeePortal/DocumentRequest.cshtml","/EmployeePortal/DocumentRequest","https://zynorahr.com/EmployeePortal/DocumentRequest","UI","Pending",""
"71","EmployeePortal","طلب مالي","EmployeePortal/FinancialRequest.cshtml","/EmployeePortal/FinancialRequest","https://zynorahr.com/EmployeePortal/FinancialRequest","UI","Pending",""
"72","EmployeePortal","النماذج","EmployeePortal/FormFill.cshtml","/EmployeePortal/FormFill","https://zynorahr.com/EmployeePortal/FormFill","UI","Pending",""
"73","EmployeePortal","بوابة الموظف الذكية","EmployeePortal/Index.cshtml","/EmployeePortal","https://zynorahr.com/EmployeePortal","UI","Pending",""
"74","EmployeePortal","طلب نسيان بصمة","EmployeePortal/MissingPunch.cshtml","/EmployeePortal/MissingPunch","https://zynorahr.com/EmployeePortal/MissingPunch","UI","Pending",""
"75","EmployeePortal","EmployeePortal/Notifications.cshtml","EmployeePortal/Notifications.cshtml","/EmployeePortal/Notifications","https://zynorahr.com/EmployeePortal/Notifications","UI","Pending",""
"76","EmployeePortal","تقاريري","EmployeePortal/Reports.cshtml","/EmployeePortal/Reports","https://zynorahr.com/EmployeePortal/Reports","UI","Pending",""
"77","EmployeePortal","طلب مناوبة","EmployeePortal/ShiftRequest.cshtml","/EmployeePortal/ShiftRequest","https://zynorahr.com/EmployeePortal/ShiftRequest","UI","Pending",""
"78","EmployeeProfileSettings","\u0625\u0639\u062F\u0627\u062F\u0627\u062A \u062D\u0642\u0648\u0644 \u0645\u0644\u0641 \u0627\u0644\u0645\u0648\u0638\u0641","EmployeeProfileSettings/Index.cshtml","/EmployeeProfileSettings","https://zynorahr.com/EmployeeProfileSettings","UI","Pending",""
"79","Employees","إضافة موظف جديد","Employees/Create.cshtml","/Employees/Create","https://zynorahr.com/Employees/Create","UI","Pending",""
"80","Employees","حذف إداريّ","Employees/Delete.cshtml","/Employees/Delete","https://zynorahr.com/Employees/Delete","UI","Pending",""
"81","Employees","تعديل بيانات الموظف","Employees/Edit.cshtml","/Employees/Edit","https://zynorahr.com/Employees/Edit","UI","Pending",""
"82","Employees","Employees/EFilePrint.cshtml","Employees/EFilePrint.cshtml","/Employees/EFilePrint","https://zynorahr.com/Employees/EFilePrint","Print","Pending",""
"83","Employees","إنهاء خدمة","Employees/EndService.cshtml","/Employees/EndService","https://zynorahr.com/Employees/EndService","UI","Pending",""
"84","Employees","منتهية خدماتهم","Employees/EndServiceList.cshtml","/Employees/EndServiceList","https://zynorahr.com/Employees/EndServiceList","UI","Pending",""
"85","Employees","متابعة تقييمات","Employees/Evaluations.cshtml","/Employees/Evaluations","https://zynorahr.com/Employees/Evaluations","UI","Pending",""
"86","Employees","المعلومات المالية","Employees/FinancialInfo.cshtml","/Employees/FinancialInfo/{id:int}","https://zynorahr.com/Employees/FinancialInfo/{id:int}","UI / Dynamic","Pending",""
"87","Employees","قائمة الموظفين","Employees/Index.cshtml","/Employees","https://zynorahr.com/Employees","UI","Pending",""
"88","Employees","السجل الوظيفي","Employees/Lifecycle.cshtml","/Employees/Lifecycle","https://zynorahr.com/Employees/Lifecycle","UI","Pending",""
"89","Employees","Employees/Lookup.cshtml","Employees/Lookup.cshtml","/Employees/Lookup","https://zynorahr.com/Employees/Lookup","Technical / API","Pending",""
"90","Employees","Employees/PeopleDashboard.cshtml","Employees/PeopleDashboard.cshtml","/Employees/PeopleDashboard","https://zynorahr.com/Employees/PeopleDashboard","UI","Pending",""
"91","Employees","ملف الموظف","Employees/Profile.cshtml","/Employees/Profile","https://zynorahr.com/Employees/Profile","UI","Pending",""
"92","Employees","إعادة تعيين","Employees/Rehire.cshtml","/Employees/Rehire","https://zynorahr.com/Employees/Rehire","UI","Pending",""
"93","Employees","رئيس وحدة مؤقت","Employees/TemporaryHeads.cshtml","/Employees/TemporaryHeads","https://zynorahr.com/Employees/TemporaryHeads","UI","Pending",""
"94","EmployeeTasks","مهام التعيين والإنهاء","EmployeeTasks/Index.cshtml","/EmployeeTasks","https://zynorahr.com/EmployeeTasks","UI","Pending",""
"95","EmployeeUpdates","\u062A\u062D\u062F\u064A\u062B\u0627\u062A \u0627\u0644\u0645\u0648\u0638\u0641","EmployeeUpdates/Index.cshtml","/EmployeeUpdates","https://zynorahr.com/EmployeeUpdates","UI","Pending",""
"96","Engagement","التواصل والإعلانات","Engagement/Announcements.cshtml","/Engagement/Announcements","https://zynorahr.com/Engagement/Announcements","UI","Pending",""
"97","Engagement","الحالات والملاحظات","Engagement/Feedback.cshtml","/Engagement/Feedback","https://zynorahr.com/Engagement/Feedback","UI","Pending",""
"98","Engagement","تفاعل الموظف","Engagement/Index.cshtml","/Engagement","https://zynorahr.com/Engagement","UI","Pending",""
"99","Engagement","صوت الموظف","Engagement/Polls.cshtml","/Engagement/Polls","https://zynorahr.com/Engagement/Polls","UI","Pending",""
"100","Engagement","التقدير والحملات","Engagement/Recognition.cshtml","/Engagement/Recognition","https://zynorahr.com/Engagement/Recognition","UI","Pending",""
"101","Forms","باني النماذج","Forms/Index.cshtml","/Forms","https://zynorahr.com/Forms","UI","Pending",""
"102","Forms","متابعة النماذج","Forms/Submissions.cshtml","/Forms/Submissions","https://zynorahr.com/Forms/Submissions","UI","Pending",""
"103","Holidays","إضافة عطلة","Holidays/Create.cshtml","/Holidays/Create","https://zynorahr.com/Holidays/Create","UI","Pending",""
"104","Holidays","حذف عطلة","Holidays/Delete.cshtml","/Holidays/Delete","https://zynorahr.com/Holidays/Delete","UI","Pending",""
"105","Holidays","تعديل عطلة","Holidays/Edit.cshtml","/Holidays/Edit","https://zynorahr.com/Holidays/Edit","UI","Pending",""
"106","Holidays","Holidays/Import.cshtml","Holidays/Import.cshtml","/Holidays/Import","https://zynorahr.com/Holidays/Import","UI","Pending",""
"107","Holidays","العطل الرسمية","Holidays/Index.cshtml","/Holidays","https://zynorahr.com/Holidays","UI","Pending",""
"108","HrSettings","قوالب الموافقات","HrSettings/ApprovalTemplates.cshtml","/HrSettings/ApprovalTemplates","https://zynorahr.com/HrSettings/ApprovalTemplates","UI","Pending",""
"109","HrSettings","مخطط رمز الموظف","HrSettings/EmployeeCodeSchemaPage.cshtml","/HrSettings/EmployeeCodeSchema","https://zynorahr.com/HrSettings/EmployeeCodeSchema","UI","Pending",""
"110","HrSettings","مجموعات الموظفين","HrSettings/EmployeeGroups.cshtml","/HrSettings/EmployeeGroups","https://zynorahr.com/HrSettings/EmployeeGroups","UI","Pending",""
"111","HrSettings","حقول الكيانات","HrSettings/EntityFields.cshtml","/HrSettings/EntityFields","https://zynorahr.com/HrSettings/EntityFields","UI","Pending",""
"112","HrSettings","استوديو الحقول","HrSettings/FieldControl.cshtml","/HrSettings/FieldControl","https://zynorahr.com/HrSettings/FieldControl","UI","Pending",""
"113","HrSettings","مختبر الصيغ","HrSettings/Formulas.cshtml","/HrSettings/Formulas","https://zynorahr.com/HrSettings/Formulas","UI","Pending",""
